"","gene_name","homolog","p"
"65","Ha412HOChr00c00023g0859491","AT1G07650",0
"66","Ha412HOChr00c00023g0859531","AT1G07650",0
"67","Ha412HOChr00c00028g0859581","AT2G25940",6.97e-80
"68","Ha412HOChr00c00028g0859591","AT4G32940",1.78e-35
"69","Ha412HOChr00c00028g0859601","AT5G65850",2.66e-20
"70","Ha412HOChr00c00030g0859611","AT4G11400",1.34e-08
"71","Ha412HOChr00c00034g0859641","AT5G23660",3.43e-85
"72","Ha412HOChr00c00034g0859651","AT5G50790",4.3e-19
"73","Ha412HOChr00c00034g0859661","AT5G50790",3.09e-19
"74","Ha412HOChr00c00034g0859671","AT3G48740",8.76e-39
"75","Ha412HOChr00c00039g0859721","AT2G16920",1.97e-179
"76","Ha412HOChr00c00040g0859741","AT5G05260",2.1e-123
"77","Ha412HOChr00c00041g0859761","AT1G15020",2.37e-09
"78","Ha412HOChr00c00041g0859771","AT2G01270",2.33e-79
"79","Ha412HOChr00c00041g0859781","AT3G26040",3.19e-67
"80","Ha412HOChr00c00041g0859791","AT1G71110",0
"81","Ha412HOChr00c00041g0859801","AT2G26760",6.74e-53
"82","Ha412HOChr00c00051g0859821","AT4G38840",4.53e-38
"83","Ha412HOChr00c00052g0859831","AT4G23160",6.76e-74
"84","Ha412HOChr00c00052g0859841","AT1G34070",1.07e-17
"85","Ha412HOChr00c00055g0860101","ATMG00750",3.85e-17
"86","Ha412HOChr00c00057g0860191","AT5G17210",3.39e-30
"87","Ha412HOChr00c00059g0860201","AT3G14960",1.99e-42
"88","Ha412HOChr00c00061g0860221","AT1G22150",1.12e-120
"89","Ha412HOChr00c00061g0860251","AT1G22060",8.97e-45
"90","Ha412HOChr00c00062g0860261","AT4G19540",8.22e-09
"91","Ha412HOChr00c00065g0860271","AT5G57660",3.6e-54
"92","Ha412HOChr00c00065g0860281","AT4G30320",8.03e-59
"93","Ha412HOChr00c00073g0861781","AT2G26980",2.69e-38
"94","Ha412HOChr00c00080g0861821","AT3G56150",1.2e-92
"95","Ha412HOChr00c00082g0861831","AT3G16210",1.33e-14
"96","Ha412HOChr00c00083g0861851","AT5G48250",1.15e-09
"97","Ha412HOChr00c00089g0861881","AT5G23660",3.08e-93
"98","Ha412HOChr00c00089g0861891","AT5G23660",3.65e-52
"99","Ha412HOChr00c00090g0861901","AT5G50400",1.27e-55
"100","Ha412HOChr00c00093g0861921","AT2G26250",1.24e-116
"101","Ha412HOChr00c00094g0861931","AT3G49725",4.28e-172
"102","Ha412HOChr00c00094g0861941","AT3G49720",1.68e-112
"103","Ha412HOChr00c00094g0861951","AT5G56610",1.92e-43
"104","Ha412HOChr00c00106g0862071","AT3G26935",8.6e-114
"105","Ha412HOChr00c00108g0862101","AT3G02230",5.35e-98
"106","Ha412HOChr00c00109g0862121","AT4G39950",4.08e-154
"107","Ha412HOChr00c00111g0862431","AT1G45207",1.7e-64
"108","Ha412HOChr00c00124g0862441","AT5G49710",8.85e-27
"109","Ha412HOChr00c00127g0862451","AT4G36950",9.73e-50
"110","Ha412HOChr00c00127g0862461","AT1G79650",1.44e-34
"111","Ha412HOChr00c00127g0862471","AT1G79650",2.4e-117
"112","Ha412HOChr00c00129g0862481","AT4G31020",3.6e-53
"113","Ha412HOChr00c00130g0862491","AT1G08940",8.77e-78
"114","Ha412HOChr00c00130g0862501","AT2G47690",1.77e-31
"115","Ha412HOChr00c00138g0862591","AT4G35230",4.76e-45
"116","Ha412HOChr00c00144g0862601","AT4G14480",4.79e-14
"117","Ha412HOChr00c00145g0862611","AT3G01830",2.43e-36
"118","Ha412HOChr00c00145g0862621","AT1G49600",1.52e-45
"119","Ha412HOChr00c00150g0862681","AT3G14470",2.45e-120
"120","Ha412HOChr00c00150g0862691","AT4G20380",3.92e-16
"121","Ha412HOChr00c00150g0862721","AT5G54590",9.58e-17
"122","Ha412HOChr00c00155g0862731","AT1G31480",5.63e-24
"123","Ha412HOChr00c00155g0862741","AT1G31480",1.25e-100
"124","Ha412HOChr00c00169g0863001","AT5G03345",1.29e-26
"125","Ha412HOChr00c00169g0863011","AT4G34340",1.46e-27
"126","Ha412HOChr00c00169g0863021","AT3G09860",1.45e-14
"127","Ha412HOChr00c00169g0863031","AT5G03760",3.87e-122
"128","Ha412HOChr00c00173g0863041","AT3G46530",3.85e-79
"129","Ha412HOChr00c00174g0863051","AT4G37750",2.13e-147
"130","Ha412HOChr00c00175g0863061","AT4G17250",8.85e-68
"131","Ha412HOChr00c00177g0863071","AT5G51230",2.26e-07
"132","Ha412HOChr00c00179g0863101","ATMG00860",5.66e-29
"133","Ha412HOChr00c00180g0863181","AT5G03530",1.97e-95
"134","Ha412HOChr00c00180g0863191","AT3G09920",1.4e-168
"135","Ha412HOChr00c00190g0863311","AT4G24400",1.09e-27
"136","Ha412HOChr00c00192g0863321","AT3G53920",1.82e-72
"137","Ha412HOChr00c00192g0863331","AT2G19830",2.41e-24
"138","Ha412HOChr00c00198g0863361","AT2G40140",1.46e-18
"139","Ha412HOChr00c00198g0863371","AT2G40140",8.76e-35
"140","Ha412HOChr00c00198g0863401","AT2G40140",1.48e-35
"141","Ha412HOChr00c00198g0863421","AT2G40140",1.46e-18
"142","Ha412HOChr00c00200g0863431","AT4G05497",1.75e-42
"143","Ha412HOChr00c00200g0863441","AT3G03920",1.39e-12
"144","Ha412HOChr00c00202g0863451","AT5G36140",5.68e-60
"145","Ha412HOChr00c00202g0863471","AT3G13060",1.34e-12
"146","Ha412HOChr00c00203g0863481","AT2G27150",1.46e-81
"147","Ha412HOChr00c00207g0863491","AT1G21370",7.68e-86
"148","Ha412HOChr00c00208g0863501","AT1G64440",1.82e-35
"149","Ha412HOChr00c00212g0863511","AT5G26910",1.41e-15
"150","Ha412HOChr00c00219g0863521","AT5G03260",6.51e-165
"151","Ha412HOChr00c00220g0863531","AT1G09410",3.84e-15
"152","Ha412HOChr00c00221g0863551","AT5G51890",6.68e-161
"153","Ha412HOChr00c00223g0863561","AT1G55700",1.05e-32
"154","Ha412HOChr00c00238g0863651","AT2G16940",0
"155","Ha412HOChr00c00239g0863671","AT5G59920",3.54e-20
"156","Ha412HOChr00c00239g0863681","AT3G28650",8.78e-15
"157","Ha412HOChr00c00239g0863691","AT5G59920",1.15e-25
"158","Ha412HOChr00c00247g0863721","AT3G03450",1.48e-40
"159","Ha412HOChr00c00274g0863901","AT5G14105",1.39e-17
"160","Ha412HOChr00c00274g0863921","AT4G24820",1.62e-166
"161","Ha412HOChr00c00298g0863991","AT1G10940",3.95e-28
"162","Ha412HOChr00c00298g0864001","AT4G32180",4.76e-46
"163","Ha412HOChr00c00298g0864011","AT4G32180",3.58e-12
"164","Ha412HOChr00c00324g0864061","AT2G16600",1.6e-17
"165","Ha412HOChr00c00327g0864071","AT3G14570",6.26e-31
"166","Ha412HOChr00c00327g0864081","AT3G14570",3.21e-156
"167","Ha412HOChr00c00327g0864091","AT3G14570",1.64e-51
"168","Ha412HOChr00c00327g0864101","AT3G14590",5.69e-39
"169","Ha412HOChr00c00327g0864111","AT1G53590",0
"170","Ha412HOChr00c00335g0864121","AT2G26910",3.66e-17
"171","Ha412HOChr00c00336g0864131","AT3G55700",3.76e-93
"172","Ha412HOChr00c00336g0864141","AT3G11340",1.46e-39
"173","Ha412HOChr00c00336g0864151","AT3G11340",3.4e-106
"174","Ha412HOChr00c00341g0864221","AT4G32430",3.55e-26
"175","Ha412HOChr00c00341g0864231","AT4G32430",3.48e-153
"176","Ha412HOChr00c00341g0864241","AT5G20150",8.01e-126
"177","Ha412HOChr00c00362g0864281","AT3G13080",0
"178","Ha412HOChr00c00364g0864291","AT5G04130",1.01e-75
"179","Ha412HOChr00c00382g0864301","AT5G52510",3.96e-91
"180","Ha412HOChr00c00399g0864341","AT1G30050",1.5e-32
"181","Ha412HOChr00c00399g0864351","AT5G01970",8.37e-08
"182","Ha412HOChr00c00401g0864371","AT2G32350",2.08e-96
"183","Ha412HOChr00c00401g0864391","AT5G38190",7.59e-11
"184","Ha412HOChr00c00419g0864411","AT3G48400",1.22e-15
"185","Ha412HOChr00c00434g0864431","AT4G17250",8.21e-31
"186","Ha412HOChr00c00447g0864461","AT1G19610",2.71e-18
"187","Ha412HOChr00c00447g0864471","AT5G47580",7.67e-19
"188","Ha412HOChr00c00447g0864481","AT5G47580",1.17e-32
"189","Ha412HOChr00c00452g0864491","AT1G74920",7.72e-51
"190","Ha412HOChr00c00455g0864501","AT2G19240",1.89e-29
"191","Ha412HOChr00c00455g0864511","AT4G29950",3.08e-139
"192","Ha412HOChr00c00459g0864551","AT5G35917",5.89e-87
"193","Ha412HOChr00c00461g0864561","AT1G26355",5.38e-42
"194","Ha412HOChr00c00461g0864571","AT1G69210",8.88e-60
"195","Ha412HOChr00c00461g0864591","AT4G30000",3.71e-83
"196","Ha412HOChr00c00465g0864611","AT1G78870",1.53e-13
"197","Ha412HOChr00c00465g0864621","AT5G48600",3.68e-38
"198","Ha412HOChr00c00466g0864641","AT1G75250",9.93e-16
"199","Ha412HOChr00c00485g0864671","AT1G15240",2e-64
"200","Ha412HOChr00c00486g0864681","AT5G57520",3.13e-13
"201","Ha412HOChr00c00494g0864691","AT1G66250",1.26e-169
"202","Ha412HOChr00c00494g0864721","AT5G17190",1.71e-82
"203","Ha412HOChr00c00506g0864741","AT4G21820",7.14e-21
"204","Ha412HOChr00c00516g0864761","ATCG00280",4.37e-62
"205","Ha412HOChr00c00517g0864771","AT1G53590",6.83e-74
"206","Ha412HOChr00c00526g0864801","AT2G36880",4.06e-172
"207","Ha412HOChr00c00530g0864811","AT4G24890",1.22e-32
"208","Ha412HOChr00c00530g0864821","AT5G50400",3.51e-47
"209","Ha412HOChr00c00548g0864851","AT2G26730",1.65e-79
"210","Ha412HOChr00c00557g0864861","AT2G39940",2.39e-137
"211","Ha412HOChr00c00584g0864911","AT3G56060",0
"212","Ha412HOChr00c00589g0864931","AT2G44370",7.21e-25
"213","Ha412HOChr00c00589g0864951","AT2G27660",1.25e-23
"214","Ha412HOChr00c00589g0864961","AT2G44380",3.97e-48
"215","Ha412HOChr00c00615g0864971","AT3G23150",0
"216","Ha412HOChr00c00631g0864981","AT2G38670",3.23e-87
"217","Ha412HOChr00c00658g0864991","AT1G13570",1.29e-12
"218","Ha412HOChr00c00658g0865001","AT1G13570",1.31e-40
"219","Ha412HOChr00c00661g0865011","AT1G31870",1.29e-136
"220","Ha412HOChr00c00698g0865061","ATMG00860",4.98e-29
"221","Ha412HOChr00c00706g0865071","AT1G80780",1.12e-166
"222","Ha412HOChr00c00717g0865101","AT5G51790",1.08e-36
"223","Ha412HOChr00c00739g0865131","AT1G06700",7.52e-55
"224","Ha412HOChr00c00782g0865141","AT1G03350",1.59e-12
"225","Ha412HOChr00c00816g0865161","AT5G03610",2.74e-22
"226","Ha412HOChr00c00816g0865181","AT4G17250",4.59e-38
"227","Ha412HOChr00c00816g0865191","AT4G17250",2.04e-61
"228","Ha412HOChr00c00846g0865211","AT3G28345",0
"229","Ha412HOChr00c00846g0865231","AT3G28345",0
"230","Ha412HOChr00c00880g0865281","ATMG00860",1.8e-28
"231","Ha412HOChr00c00881g0865291","AT2G24200",4.76e-80
"232","Ha412HOChr00c00928g0865301","AT4G27745",6.65e-17
"233","Ha412HOChr00c00928g0865311","AT1G01225",5.14e-32
"234","Ha412HOChr00c00934g0865321","AT1G05490",0
"235","Ha412HOChr00c00943g0865331","AT1G07270",1.51e-29
"236","Ha412HOChr00c00944g0865341","ATMG00480",8.42e-74
"237","Ha412HOChr00c00944g0865351","AT2G07674",1.38e-37
"238","Ha412HOChr00c00962g0865371","AT4G27220",1.87e-40
"239","Ha412HOChr00c00977g0865381","AT1G53430",5.45e-63
"240","Ha412HOChr00c00987g0865391","AT4G30380",2.37e-18
"241","Ha412HOChr00c00996g0865401","ATMG00290",6.61e-72
"242","Ha412HOChr00c00997g0865411","ATMG00480",9.4e-73
"243","Ha412HOChr00c01003g0865441","AT2G07695",1.04e-30
"244","Ha412HOChr00c01006g0865451","AT2G03730",1.43e-22
"245","Ha412HOChr00c01006g0865461","AT1G69040",1.04e-101
"246","Ha412HOChr00c01014g0865471","AT5G02070",5.18e-154
"247","Ha412HOChr00c01032g0865491","AT1G13570",3.28e-14
"248","Ha412HOChr00c01032g0865501","AT1G13570",8.03e-12
"249","Ha412HOChr00c01035g0865521","AT2G33040",3.8e-46
"250","Ha412HOChr00c01035g0865531","AT2G33040",5.15e-07
"251","Ha412HOChr00c01048g0865551","AT3G23880",9.74e-20
"252","Ha412HOChr00c01057g0865561","AT4G22350",0
"253","Ha412HOChr00c01060g0865571","AT4G17910",1.98e-69
"254","Ha412HOChr00c01061g0865591","AT5G35830",4.4e-19
"255","Ha412HOChr00c01061g0865601","AT5G35810",5.29e-24
"256","Ha412HOChr00c01067g0865621","AT5G15120",9.17e-79
"257","Ha412HOChr00c01072g0865631","AT5G47580",1.41e-16
"258","Ha412HOChr00c01076g0865641","AT4G23150",3.24e-12
"259","Ha412HOChr00c01077g0865651","AT5G63140",2.44e-168
"260","Ha412HOChr00c01080g0865661","AT1G21740",2.78e-99
"261","Ha412HOChr00c01088g0865681","AT2G37890",5.23e-19
"262","Ha412HOChr00c01091g0865691","AT4G31460",4.76e-55
"263","Ha412HOChr00c01097g0865701","AT1G13570",3e-44
"264","Ha412HOChr00c01133g0865711","AT3G03420",7.24e-52
"265","Ha412HOChr00c01149g0865751","AT3G12120",3.01e-154
"266","Ha412HOChr00c01155g0865771","AT5G43580",2.5e-24
"267","Ha412HOChr00c01176g0865791","AT5G06900",5.18e-161
"268","Ha412HOChr00c01177g0865801","AT5G06900",2.97e-162
"269","Ha412HOChr00c01185g0865811","AT1G50310",8.89e-28
"270","Ha412HOChr00c01226g0865821","ATMG00480",1.95e-92
"271","Ha412HOChr00c01226g0865841","ATMG00730",1.08e-170
"272","Ha412HOChr00c01232g0865861","AT3G11340",1.06e-37
"273","Ha412HOChr00c01235g0865871","AT5G20140",6.93e-55
"274","Ha412HOChr00c01237g0865901","AT5G20140",4.08e-50
"275","Ha412HOChr00c01240g0865911","AT2G31610",1.05e-101
"276","Ha412HOChr00c01246g0865931","AT3G12120",1.6e-96
"277","Ha412HOChr00c01246g0865941","AT3G12120",1.49e-48
"278","Ha412HOChr00c01265g0865961","AT5G04895",0
"279","Ha412HOChr00c01268g0865971","AT1G13570",8.03e-12
"280","Ha412HOChr00c01290g0865981","AT1G52190",2.14e-113
"281","Ha412HOChr00c01312g0866001","AT1G13570",2.99e-40
"282","Ha412HOChr00c01318g0866011","AT5G43940",3.2e-41
"283","Ha412HOChr00c01322g0866021","AT1G61890",6.17e-94
"284","Ha412HOChr00c01327g0866031","AT3G23880",3.25e-12
"285","Ha412HOChr00c01345g0866041","AT1G60140",0
"286","Ha412HOChr00c01373g0866051","AT5G06900",1.42e-82
"287","Ha412HOChr00c01410g0866081","AT3G04490",1.32e-58
"288","Ha412HOChr00c01436g0866101","AT4G27290",5.03e-113
"289","Ha412HOChr00c01438g0866111","AT5G61030",3.17e-39
"290","Ha412HOChr00c01457g0866121","AT5G17210",3.58e-37
"291","Ha412HOChr00c01461g0866131","AT1G13570",2.99e-40
"292","Ha412HOChr00c01470g0866141","AT2G26900",1.39e-24
"293","Ha412HOChr00c01481g0866151","AT1G14550",3.48e-155
"294","Ha412HOChr00c01482g0866161","AT5G40320",7.57e-30
"295","Ha412HOChr00c01483g0866171","AT2G29580",3.44e-27
"296","Ha412HOChr00c01501g0866181","AT5G39000",5.56e-73
"297","Ha412HOChr00c01503g0866191","AT1G22620",6.88e-98
"298","Ha412HOChr00c01513g0866211","AT4G31550",4.57e-46
"299","Ha412HOChr00c01515g0866221","AT2G23200",2.81e-35
"300","Ha412HOChr00c01522g0866231","AT5G23580",1.29e-28
"301","Ha412HOChr00c01534g0866261","AT4G05460",6.08e-60
"302","Ha412HOChr00c01540g0866271","AT3G06440",4.79e-98
"303","Ha412HOChr00c01541g0866281","AT5G41800",1.94e-179
"304","Ha412HOChr00c01542g0866291","AT2G06990",1.59e-33
"305","Ha412HOChr00c01552g0866301","AT1G64390",1.17e-75
"306","Ha412HOChr00c01591g0866311","AT5G53390",1.81e-78
"307","Ha412HOChr00c01595g0866321","AT1G12920",6.25e-113
"308","Ha412HOChr00c01595g0866331","AT1G12920",7.13e-47
"309","Ha412HOChr00c01610g0866351","AT4G16180",6.16e-48
"310","Ha412HOChr00c01614g0866361","AT5G63140",1.43e-97
"311","Ha412HOChr00c01657g0866371","AT5G61140",7.98e-107
"312","Ha412HOChr00c01662g0866381","AT5G17210",1.14e-36
"313","Ha412HOChr00c01712g0866411","AT5G51690",2.3e-42
"314","Ha412HOChr00c01714g0866421","AT1G54220",3.42e-07
"315","Ha412HOChr00c01728g0866431","AT4G37370",8.65e-75
"316","Ha412HOChr00c01755g0866441","AT4G17880",6.69e-33
"317","Ha412HOChr00c01782g0866461","AT3G13760",1.99e-25
"318","Ha412HOChr00c01790g0866471","AT5G50260",6.53e-69
"319","Ha412HOChr00c01812g0866501","AT3G09850",4.42e-10
"320","Ha412HOChr00c01842g0866511","AT2G38560",1.62e-113
"321","Ha412HOChr00c01845g0866521","AT5G24500",1.6e-09
"322","Ha412HOChr00c01847g0866531","AT5G47580",2.84e-23
"323","Ha412HOChr00c01868g0866541","AT4G28080",3.17e-49
"324","Ha412HOChr00c01888g0866551","AT5G41800",6.48e-109
"325","Ha412HOChr00c01953g0866591","AT3G06620",1.97e-21
"326","Ha412HOChr00c01984g0866601","AT1G16260",2.65e-21
"327","Ha412HOChr00c02044g0866631","AT4G11820",5.44e-121
"328","Ha412HOChr00c02064g0866641","AT3G45140",1.13e-109
"329","Ha412HOChr00c02090g0866661","AT2G34930",1.17e-44
"330","Ha412HOChr00c02099g0866671","AT4G17250",1.02e-70
"331","Ha412HOChr00c02126g0866701","AT5G25380",6.36e-18
"332","Ha412HOChr00c02137g0866711","AT4G32940",9.3e-59
"333","Ha412HOChr00c02153g0866721","AT1G54220",1.07e-06
"334","Ha412HOChr00c02156g0866731","AT3G55800",2.98e-122
"335","Ha412HOChr00c02158g0866741","AT2G02660",2.74e-09
"336","Ha412HOChr00c02163g0866751","AT5G63390",2.55e-139
"337","Ha412HOChr00c02168g0866761","AT3G09440",0
"338","Ha412HOChr00c02187g0866781","AT5G20320",4.21e-47
"339","Ha412HOChr00c02193g0866801","AT5G59920",2.9e-25
"340","Ha412HOChr00c02201g0866811","AT2G22370",5.97e-77
"341","Ha412HOChr00c02277g0866831","AT3G59140",3.07e-121
"342","Ha412HOChr00c02280g0866841","AT5G25350",1.21e-15
"343","Ha412HOChr00c02293g0866851","AT1G13570",1.38e-17
"344","Ha412HOChr00c02294g0866861","AT3G47420",3.97e-45
"345","Ha412HOChr00c02300g0866871","AT2G19830",2.23e-12
"346","Ha412HOChr00c02318g0866881","AT2G07820",1.69e-26
"347","Ha412HOChr00c02321g0866891","AT1G78870",1.19e-31
"348","Ha412HOChr00c02332g0866901","AT4G30080",2.45e-32
"349","Ha412HOChr00c02333g0866911","AT5G20280",4.94e-115
"350","Ha412HOChr00c02372g0866921","AT1G05490",1.63e-48
"351","Ha412HOChr00c02390g0866931","AT5G02920",4.83e-14
"352","Ha412HOChr00c02421g0866951","AT4G31940",2.08e-75
"353","Ha412HOChr00c02431g0866961","AT1G22310",3.99e-21
"354","Ha412HOChr00c02463g0866971","AT2G25140",2.58e-122
"355","Ha412HOChr00c02466g0866981","AT4G11730",7.47e-24
"356","Ha412HOChr00c02481g0866991","AT1G01250",1.47e-28
"357","Ha412HOChr00c02505g0867001","AT4G17970",6e-07
"358","Ha412HOChr00c02535g0867021","AT5G20090",4.8e-24
"359","Ha412HOChr00c02553g0867041","AT3G61415",1.11e-68
"360","Ha412HOChr00c02562g0867051","AT2G23350",1.53e-26
"361","Ha412HOChr00c02564g0867061","AT1G09310",1.58e-48
"362","Ha412HOChr00c02592g0867071","AT3G12860",2.59e-09
"363","Ha412HOChr00c02633g0867091","AT4G18440",2.69e-33
"364","Ha412HOChr00c02652g0867121","AT1G10040",3.64e-34
"365","Ha412HOChr00c02657g0867131","AT5G07330",5.02e-25
"366","Ha412HOChr00c02660g0867141","AT3G06240",2.57e-17
"367","Ha412HOChr00c02684g0867151","AT1G18390",8.84e-75
"368","Ha412HOChr00c02727g0867171","AT5G04895",1.29e-121
"369","Ha412HOChr00c02765g0867201","AT5G59920",1.46e-16
"370","Ha412HOChr00c02844g0867221","AT3G52790",7.86e-29
"371","Ha412HOChr00c02884g0867241","AT4G22730",1.51e-51
"372","Ha412HOChr00c02927g0867271","AT5G65940",5.23e-18
"373","Ha412HOChr00c02938g0867291","AT2G34930",4.78e-53
"374","Ha412HOChr00c02960g0867311","AT5G41790",7.4e-09
"375","Ha412HOChr00c02982g0867321","AT2G29110",2.25e-22
"376","Ha412HOChr00c03000g0867341","AT3G09830",7e-63
"377","Ha412HOChr00c03015g0867351","AT5G24970",3.39e-47
"378","Ha412HOChr00c03104g0867411","AT1G67430",1.45e-38
"379","Ha412HOChr00c03118g0867461","AT1G06110",1.19e-14
"380","Ha412HOChr00c03128g0867491","AT1G53300",9.95e-61
"381","Ha412HOChr00c03137g0867501","AT1G16260",5.83e-22
"382","Ha412HOChr00c03175g0867511","AT4G33440",2.32e-29
"383","Ha412HOChr00c03191g0867521","ATMG00210",1.88e-50
"384","Ha412HOChr00c03201g0867541","AT1G10590",3.07e-21
"385","Ha412HOChr00c03219g0867561","AT4G24580",1.75e-26
"386","Ha412HOChr00c03224g0867581","AT3G15710",1.42e-18
"387","Ha412HOChr00c03256g0867611","AT3G12120",1.12e-81
"388","Ha412HOChr00c03267g0867621","AT3G15880",8.1e-87
"389","Ha412HOChr00c03269g0867631","AT3G11402",1.07e-23
"390","Ha412HOChr00c03295g0867641","AT5G49650",2.14e-26
"391","Ha412HOChr00c03374g0867651","AT5G24090",2.06e-45
"392","Ha412HOChr00c03382g0867661","AT5G23990",6.98e-113
"393","Ha412HOChr00c03407g0867671","AT5G55740",9.18e-138
"394","Ha412HOChr00c03418g0867681","AT2G33040",1.04e-20
"395","Ha412HOChr00c03437g0867691","AT1G13570",6.22e-32
"396","Ha412HOChr00c03450g0867701","AT4G24560",1.96e-90
"397","Ha412HOChr00c03475g0867711","AT3G48920",6.34e-53
"398","Ha412HOChr00c03522g0867721","AT4G24820",1.06e-33
"399","Ha412HOChr00c03530g0867741","AT5G52020",3.9e-29
"400","Ha412HOChr00c03598g0867771","AT2G12400",1.69e-52
"401","Ha412HOChr00c03606g0867781","AT5G52540",2.72e-58
"402","Ha412HOChr00c03758g0867831","AT4G28080",2.27e-45
"403","Ha412HOChr00c03779g0867841","AT5G09360",9.22e-62
"404","Ha412HOChr00c03782g0867851","AT1G13570",2.35e-09
"405","Ha412HOChr00c03843g0867881","AT3G01830",3.43e-35
"406","Ha412HOChr00c03885g0867891","AT2G19070",1.77e-133
"407","Ha412HOChr00c03901g0867901","AT5G64813",1.94e-36
"408","Ha412HOChr00c03916g0867911","AT1G67880",4.81e-42
"409","Ha412HOChr00c03971g0867931","AT4G28080",6.8e-31
"410","Ha412HOChr00c03989g0867951","AT5G23940",9.82e-155
"411","Ha412HOChr00c03990g0867961","AT1G67890",2.83e-16
"412","Ha412HOChr00c04006g0867971","AT1G74190",1.12e-26
"413","Ha412HOChr00c04008g0867981","AT1G48910",1.26e-84
"414","Ha412HOChr00c04020g0867991","AT5G20500",1.17e-21
