XRQ_gene_name	XRQ_start	XRQ_end	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm	412_gene_name	start	end	chr	XRQ_chr
HanXRQChr01g0000061	530927	534499	3.47	0.62	4.75	0.58	0.06	0.54	1.01	6.68	1.66	Ha412HOChr03g0102071	41647318	41650903	Ha412HOChr03	HanXRQChr01
HanXRQChr01g0000071	562593	565760	0.88	0.72	0.15	0	0	0.06	0.05	0.28	1.63	Ha412HOChr03g0102061	41616083	41619249	Ha412HOChr03	HanXRQChr01
HanXRQChr01g0000101	1031424	1035245	1.04	3.35	4.64	4.96	0	5.41	1	1.97	1.77	Ha412HOChr01g0000311	1112616	1116435	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000111	1044677	1046038	1.27	0.6	1.67	0.7	0	1.71	0.09	0.99	0.16	Ha412HOChr01g0000291	1101039	1102214	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000121	1046175	1048772	12.02	2.31	19.04	0.84	0.05	1.36	2.19	8.67	1.12	Ha412HOChr01g0000281	1098313	1100904	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000131	1051818	1052348	0.17	0.29	2.22	1	0	0.29	6.39	0	0.7	Ha412HOChr01g0000271	1094685	1095215	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000141	1174589	1175826	1557.68	1721.48	470.73	1999.61	1.02	33.82	15.8	336.63	957.67	Ha412HOChr01g0000241	949704	950933	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000151	1213661	1216100	0.62	0.13	0.23	0.86	0.55	8.02	5.71	0.18	0.42	Ha412HOChr01g0000221	908248	910929	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000161	1217695	1218857	7.82	0.39	1.6	3.63	0	1.95	0	0.06	3.83	Ha412HOChr01g0000211	905364	906519	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000191	1271703	1274314	31.13	16.69	21.38	39.53	0.06	16.71	15.2	20.59	45.72	Ha412HOChr01g0000181	798786	801890	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000201	1373267	1380530	22.82	23.55	6.88	1.47	0.09	0.72	2.24	31.91	4.41	Ha412HOChr01g0000121	725124	731795	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000211	1442718	1443616	26.27	10.71	5.95	2.47	0.05	2.36	0.75	8.99	12.42	Ha412HOChr01g0000091	569207	570085	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000291	1637214	1639169	99.39	46.68	5.71	13.04	0.06	29.08	19.88	28.93	29.88	Ha412HOChr01g0000741	1877108	1878801	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000311	1645774	1650888	8.36	6.83	5.92	2.63	6.73	12.86	33.83	12.4	17.53	Ha412HOChr01g0000711	1865778	1870079	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000321	1652529	1654911	0.11	10.71	10.16	46.28	0.02	20.7	2.1	1.58	1.8	Ha412HOChr01g0000701	1847473	1849588	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000341	1661169	1662517	0.09	0.73	0	0.89	0	2.82	0.13	0.2	0.14	Ha412HOChr01g0000671	1839417	1840757	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000351	1699070	1699630	241.79	1313.38	89.74	973.97	0.15	133.97	128.81	149.01	314.85	Ha412HOChr01g0000651	1752327	1752887	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000361	1704621	1707112	12.41	6.15	5.45	2.58	0.01	2.95	1.64	10.19	7.59	Ha412HOChr01g0000631	1741996	1744340	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000371	1709905	1712663	1.08	0.03	0.19	0.08	0.24	0.4	1.43	0.98	0.22	Ha412HOChr01g0000621	1736579	1739193	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000401	1729913	1734828	1.01	0.37	1.29	0.44	0.05	1.6	0.17	1.19	0.42	Ha412HOChr01g0000581	1715372	1720294	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000421	1741224	1743256	34.17	12.01	7.05	16.86	0.49	58.63	24.61	50.3	42.81	Ha412HOChr01g0000561	1706962	1708983	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000491	2006030	2010804	0.44	0.98	1.05	1.07	0.17	1.61	0.25	0.84	0.29	Ha412HOChr01g0000491	1401511	1406489	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000501	2014039	2018960	23.9	6.45	18.99	2.45	0.15	3.61	1.31	11.65	4.47	Ha412HOChr01g0000471	1393245	1398266	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000511	2030642	2034477	0.1	0.46	2.31	0.06	0	0.45	0.44	0.22	0.34	Ha412HOChr01g0000451	1377690	1381565	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000521	2035471	2040037	1.92	2.83	3.58	1.3	0.21	1.31	2.08	5.02	2.53	Ha412HOChr01g0000441	1372225	1376710	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000531	2045183	2048491	83.71	53.94	176.14	46.41	0.4	25.78	7.2	60.19	74.71	Ha412HOChr01g0000431	1363718	1367055	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000581	2133292	2134351	0.04	0.68	2.87	2.9	0	5.84	0.07	0.5	0.35	Ha412HOChr01g0000391	1287966	1289015	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000591	2140313	2148474	1.41	1.71	8.68	1.12	0.07	2.35	2.11	2.56	2.59	Ha412HOChr01g0000381	1274208	1282313	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000631	2312510	2320381	7.17	3.96	12.2	5.76	0.01	25.93	3.95	46.71	6.68	Ha412HOChr01g0000811	2053195	2061221	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000641	2321196	2322622	43.36	29.95	27.96	49.03	0	10.9	21.46	199.26	22.67	Ha412HOChr01g0000821	2062725	2063042	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000651	2324290	2329793	5.6	2.73	4.82	2.6	0.01	2.79	0.69	7.23	1.98	Ha412HOChr01g0000831	2064591	2070171	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000691	2706342	2709496	0	0.28	1.58	1.6	0	3.07	0.03	0.85	0.14	Ha412HOChr01g0000851	2076376	2079387	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000711	2769355	2772895	15.56	3.74	19.16	2.15	0.19	2.21	1.93	12.26	2.22	Ha412HOChr01g0000871	2133061	2136596	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000751	2791167	2794925	0	0	0.01	0	0	0.02	0.93	0	0	Ha412HOChr01g0000931	2160281	2164171	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000761	2799573	2811127	8.24	6.18	16.9	3.85	0.09	6.88	4.56	10.98	6.36	Ha412HOChr01g0000941	2169108	2180840	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000791	2826822	2829501	18.2	3.36	23.13	7.05	0.11	13.77	3.71	12.44	12.75	Ha412HOChr01g0000991	2197105	2199673	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000801	2829552	2836852	3.9	0.23	1.64	0.53	0	0.06	0.15	3.98	0.96	Ha412HOChr01g0001001	2199110	2202814	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000811	2855544	2859145	23.88	3.92	17.32	4.26	3.62	11.25	5.76	27.61	8.7	Ha412HOChr01g0001031	2232898	2236405	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000821	2859196	2864881	9.74	0.81	3.3	0.42	0.06	0.52	1.05	5.09	0.51	Ha412HOChr01g0001041	2235972	2241783	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000831	2868203	2869949	0.07	0	0.01	0	0.01	0.01	0	0.03	0	Ha412HOChr01g0001051	2250072	2252194	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000841	2882474	2889098	9.44	1.51	2.94	2.39	3.22	12.37	7.69	9.23	7.78	Ha412HOChr01g0001061	2265815	2272445	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000881	2939399	2939704	9.72	13.02	5.94	77.74	0	17.45	9.09	10.98	9.71	Ha412HOChr01g0001111	2305147	2305620	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000891	2964724	2965419	2.85	0	0	0.76	0	94.48	0.13	0.34	0	Ha412HOChr01g0001121	2330572	2331414	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000901	2977146	2987035	0.6	0.42	0.36	0.19	0.02	2.21	0	0.47	0.83	Ha412HOChr11g0510241	123185104	123185517	Ha412HOChr11	HanXRQChr01
HanXRQChr01g0000921	3017887	3031787	5.88	1.81	0.87	4.37	0.01	2.6	0.83	6.44	0.63	Ha412HOChr01g0001161	2383339	2397231	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000931	3036032	3046028	0.13	0.08	0.81	0.37	0	0.3	0.07	1.25	0.27	Ha412HOChr01g0001171	2401592	2405861	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000941	3048967	3053641	0.38	0.16	0.16	0.16	0	0.03	0	0.08	0.1	Ha412HOChr01g0001191	2414845	2419698	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000951	3055671	3057808	180.37	48.04	152.42	92.87	0.6	112.89	20.36	144.06	93.36	Ha412HOChr01g0001201	2421567	2423697	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000981	3064862	3073873	1.94	0.79	3.04	0.09	0.07	0.22	0.57	4.39	0.44	Ha412HOChr01g0001251	2430759	2439777	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001011	3110039	3112654	0.78	0	0.04	0	0.01	0	0	0.09	0.08	Ha412HOChr01g0001271	2450533	2453162	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001021	3330396	3335971	2.11	0.41	0.14	0.25	0.01	0.07	0.14	2.6	0.28	Ha412HOChr15g0720531	73130802	73136612	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001031	3490804	3491289	20.2	23.87	150.89	27.63	0.02	17.12	2.14	12.58	22.18	Ha412HOChr01g0001501	2798326	2798973	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001041	3494936	3497508	154.67	242.6	84.82	345.6	0.45	145.25	57.9	100.15	156.27	Ha412HOChr01g0001491	2792008	2794478	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001061	3523917	3525481	4.49	8.58	3.29	9.44	0.03	5.26	2.73	5.52	8.36	Ha412HOChr11g0479031	1076899	1079428	Ha412HOChr11	HanXRQChr01
HanXRQChr01g0001081	3530455	3536851	0.03	2.09	12.85	0.24	0.12	0.24	15.25	0.2	17.07	Ha412HOChr01g0001461	2708180	2714135	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001091	3554442	3557316	4.51	38.5	1.76	9	0	0.36	0.3	0.21	53.25	Ha412HOChr01g0001441	2637358	2640260	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001131	3599144	3606904	0.92	0.6	0.49	2.46	0.04	89.74	0.15	0.17	0.31	Ha412HOChr01g0001411	2591396	2599153	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001161	3615744	3631198	19.9	16.16	27.04	8.66	0.11	10.12	5.67	20.48	10.13	Ha412HOChr01g0001371	2566767	2582437	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001221	3746742	3747897	9.89	1.59	8.16	4	0.02	6	0.83	14.16	5.05	Ha412HOChr15g0693171	333767	335017	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001231	3751514	3753715	27.34	8.09	18.52	14.01	0.18	28.78	4.51	18.47	17.23	Ha412HOChr15g0693181	338595	340720	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001241	3759713	3760862	3.21	5.44	4.81	6.71	0.18	9.72	5.92	10.36	8.7	Ha412HOChr15g0693211	348911	350064	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001251	3823793	3825043	74.72	337.43	13.5	158.24	0.1	31.6	36.29	58.74	119.1	Ha412HOChr15g0693241	496001	505348	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001271	3835251	3837501	0	0.1	0.21	0.13	0	0.36	0	0.07	0.06	Ha412HOChr15g0693281	525622	527671	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001291	3887013	3887664	0.66	0.07	0.1	54.52	0	1927	0.85	0.1	0.31	Ha412HOChr01g0001771	3330054	3330705	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001301	3892474	3895140	2.88	0.17	5.38	0.9	0.2	2.16	2.35	3.24	1.48	Ha412HOChr01g0001781	3335516	3337760	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001311	3921491	3931424	1.17	2.61	2.09	1.24	0.11	0.84	0.67	6.19	1.43	Ha412HOChr01g0001521	2871841	2881773	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001321	3933946	3946457	0.1	0.44	0.85	1.1	0	0.33	0.17	0.78	0.13	Ha412HOChr01g0001511	2856635	2869336	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001341	4042602	4044469	1.64	0.19	0.19	0	0	0	0.04	1.85	0	Ha412HOChr11g0529101	190085242	190087239	Ha412HOChr11	HanXRQChr01
HanXRQChr01g0001391	4060850	4071388	0.63	0.77	1.5	0.6	0.01	0.19	0.24	1.68	0.77	Ha412HOChr11g0529171	190103698	190114340	Ha412HOChr11	HanXRQChr01
HanXRQChr01g0001411	4122683	4132373	1.51	3.7	5.34	0.78	0.06	0.37	1.21	4.89	2.35	Ha412HOChr11g0529211	190165570	190175409	Ha412HOChr11	HanXRQChr01
HanXRQChr01g0001421	4132424	4141874	0.01	0	0.01	0	0	0	0	0.01	0	Ha412HOChr11g0529241	190182060	190185096	Ha412HOChr11	HanXRQChr01
HanXRQChr01g0001431	4159155	4163234	0.36	0.68	0.31	0.24	0	0.09	0.09	0.49	0.16	Ha412HOChr11g0529251	190202398	190206472	Ha412HOChr11	HanXRQChr01
HanXRQChr01g0001451	4291152	4292294	0.02	0.06	0.04	0	0.04	0.04	2.79	0.04	0.29	Ha412HOChr11g0529281	190389371	190390514	Ha412HOChr11	HanXRQChr01
HanXRQChr01g0001461	4451991	4452296	1.14	0	0.16	0	0	0.68	1.1	22.55	2.18	Ha412HOChr01g0002311	5103418	5103723	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001491	4503943	4504248	0.22	0	0	0	0	0.3	0.5	10.17	0.29	Ha412HOChr01g0002251	5047349	5047870	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001501	4536505	4536810	0.11	0	0	0	0	0.13	0.7	3.11	0.21	Ha412HOChr01g0002241	5011882	5012187	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001521	4630977	4631282	0.55	0	0	1.38	0	0.3	1.7	28.31	0.17	Ha412HOChr01g0002221	4916014	4916319	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001581	5013395	5017306	0.01	0.12	0.6	0.14	0	0.33	0.32	1.5	0.07	Ha412HOChr01g0002101	4467465	4471439	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001601	5036942	5038628	1.31	2.66	0.87	3.88	0.01	1.95	3.37	0.82	1.94	Ha412HOChr01g0002081	4445821	4447502	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001611	5113066	5117573	4.92	11.74	12.63	11.39	0.6	10.86	10.5	11.87	10.58	Ha412HOChr01g0002071	4366563	4371066	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001631	5141882	5149643	10.29	2.82	10.36	1.33	0.06	2.14	0.79	8.17	0.92	Ha412HOChr01g0002051	4331528	4339469	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001661	5382644	5389632	2.43	0.47	3.26	0.76	0.39	0.68	0.71	4.18	1.14	Ha412HOChr01g0002011	4073248	4080308	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001671	5754879	5759186	7.96	2.2	11.28	1.45	0.17	5.31	1.27	13.79	2.46	Ha412HOChr01g0001971	3700122	3704431	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001721	5947509	5965153	260.91	148.9	75.75	131.77	5.89	69.96	79.39	186.84	152.02	Ha412HOChr01g0001901	3477926	3480050	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001751	6063929	6071440	4.25	3.57	3.87	2.88	0.05	6.41	3.22	4.55	3	Ha412HOChr15g0729221	110900481	110908260	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001771	6119494	6124225	29.52	20.85	21.53	29.97	0.83	47.73	26.13	20.37	44.91	Ha412HOChr15g0729181	110847682	110852580	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001781	6133661	6137267	0.12	0.24	4.42	0.81	0	1.73	0	0.22	0.22	Ha412HOChr15g0729171	110834402	110838005	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001821	6325896	6334215	6.65	4.34	0.97	0.8	0	0	0.46	0.5	0.29	Ha412HOChr15g0729111	110637319	110645701	Ha412HOChr15	HanXRQChr01
HanXRQChr01g0001871	6684067	6694946	0.46	0.56	0.55	0.47	0.14	0.82	0.7	0.8	0.24	Ha412HOChr04g0168021	90843898	90854773	Ha412HOChr04	HanXRQChr01
HanXRQChr01g0001881	6798035	6802933	1.24	0	0.44	0.55	0	0.03	0.16	0.69	2.35	Ha412HOChr04g0168031	90963089	90980176	Ha412HOChr04	HanXRQChr01
HanXRQChr01g0001891	6915294	6921647	12.49	3.84	8.4	5.85	1.39	5.28	8.26	9.89	5.58	Ha412HOChr04g0168041	91092696	91099074	Ha412HOChr04	HanXRQChr01
HanXRQChr01g0001941	7447520	7451517	0.51	0.07	0.15	0	0.01	0.3	0.27	1.54	0.15	Ha412HOChr01g0015751	69601061	69605063	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001951	7464755	7468608	14.62	5.98	10.41	4.81	0.07	10.29	3.07	15.09	8.42	Ha412HOChr01g0015761	69618524	69622360	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001961	7496638	7497099	2.89	1	2.75	0	0.04	0	0	2.21	0.64	Ha412HOChr01g0015771	69650290	69651357	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001971	7581442	7588500	1.14	2.53	3.17	0.78	0.1	1.16	1.65	2.75	1.84	Ha412HOChr01g0015781	69757259	69763827	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0001981	7712955	7715056	0.03	0.02	0.11	0	0	0.05	0	0	0.01	Ha412HOChr01g0002331	5217425	5219526	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002011	7774500	7779145	5.93	11.39	8.61	6.42	0.01	5.39	2.82	8.45	4.91	Ha412HOChr01g0002361	5283912	5289057	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002021	7802277	7807392	11.8	4.36	16.76	5.88	0.09	5.14	2.85	16.71	5.06	Ha412HOChr01g0002371	5311912	5316992	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002051	8041156	8042346	1.57	7.18	21.68	15.98	0	8.36	0.56	3.1	3.15	Ha412HOChr01g0002691	6391362	6393202	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002071	8322436	8326972	1.82	5.69	18.65	1.3	0.06	1.17	1.02	12.02	12.24	Ha412HOChr12g0575561	164922668	164927210	Ha412HOChr12	HanXRQChr01
HanXRQChr01g0002191	8827483	8832396	0.04	0.66	2.21	0.41	0	0.05	0.39	0.54	0.71	Ha412HOChr06g0270051	69273083	69277896	Ha412HOChr06	HanXRQChr01
HanXRQChr01g0002201	8901476	8903014	0.01	33.87	73.81	3.19	0.5	0.01	1.24	0.02	77.99	Ha412HOChr06g0270041	69202372	69203900	Ha412HOChr06	HanXRQChr01
HanXRQChr01g0002281	9110492	9116073	7.98	2.27	1.03	6.11	0.04	31.81	6.33	4.86	5.23	Ha412HOChr01g0002741	6581561	6584293	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002291	9116237	9121335	180.47	204.96	87.9	152.83	0.21	66.1	15.38	33.08	162.32	Ha412HOChr01g0002751	6587422	6592718	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002311	9136818	9141375	71.46	17.25	21.06	13.74	0.55	34.62	22.99	49.42	41.37	Ha412HOChr01g0002771	6611581	6616176	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002331	9210434	9217941	7.33	3.1	8.02	1.51	0.03	3.41	3.06	7.5	3.37	Ha412HOChr01g0002831	6695331	6702642	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002351	9275367	9282537	9.3	4.47	12.86	3.36	0.34	4.66	4.38	18.33	3.67	Ha412HOChr01g0002871	6760237	6767471	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0002361	9282618	9286724	76.32	12.73	39.39	8.43	0.1	17.47	6.14	76.8	12.72	Ha412HOChr01g0002881	6767588	6771688	Ha412HOChr01	HanXRQChr01
